algorithm,n_generations,n_states,n_signals,n_samples,threshold,util_gen2gen,util_gen2ground
SigmoidPlayer,100,1000,2,200,0.5,0.9978100000000001,0.9904257425742573
SigmoidPlayer,100,1000,2,200,0.5,0.99723,0.9660693069306932
SigmoidPlayer,100,1000,2,200,0.5,0.99797,0.9662475247524749
SigmoidPlayer,100,1000,2,200,0.5,0.99765,0.9609900990099011
SigmoidPlayer,100,1000,2,200,0.5,0.9977799999999999,0.9702376237623761
SigmoidPlayer,100,1000,2,200,0.5,0.9979500000000001,0.9578217821782179
SigmoidPlayer,100,1000,2,200,0.5,0.9978100000000001,0.9682772277227724
SigmoidPlayer,100,1000,2,200,0.5,0.9978199999999998,0.9745148514851484
SigmoidPlayer,100,1000,2,200,0.5,0.9975400000000001,0.9529405940594058
SigmoidPlayer,100,1000,2,200,0.5,0.9978,0.954831683168317
SigmoidPlayer,100,1000,2,200,0.5,0.99789,0.9952178217821782
SigmoidPlayer,100,1000,2,200,0.5,0.99798,0.9639009900990098
SigmoidPlayer,100,1000,2,200,0.5,0.99792,0.972287128712871
SigmoidPlayer,100,1000,2,200,0.5,0.99788,0.9585247524752478
SigmoidPlayer,100,1000,2,200,0.5,0.99791,0.9678613861386139
SigmoidPlayer,100,1000,2,200,0.5,0.99768,0.9606633663366335
SigmoidPlayer,100,1000,2,200,0.5,0.99779,0.9527227722772276
SigmoidPlayer,100,1000,2,200,0.5,0.99748,0.9438613861386138
SigmoidPlayer,100,1000,2,200,0.5,0.9977599999999999,0.9512871287128712
SigmoidPlayer,100,1000,2,200,0.5,0.99767,0.9623861386138616
SigmoidPlayer,100,1000,2,200,0.5,0.9978899999999998,0.9597425742574258
SigmoidPlayer,100,1000,2,200,0.5,0.9982100000000002,0.961
SigmoidPlayer,100,1000,2,200,0.5,0.9973400000000001,0.9509504950495049
SigmoidPlayer,100,1000,2,200,0.5,0.9981800000000001,0.9614158415841584
SigmoidPlayer,100,1000,2,200,0.5,0.99717,0.9256435643564357
SigmoidPlayer,100,1000,2,200,0.5,0.9973200000000001,0.977891089108911
SigmoidPlayer,100,1000,2,200,0.5,0.9973399999999999,0.9564059405940594
SigmoidPlayer,100,1000,2,200,0.5,0.99784,0.9583861386138615
SigmoidPlayer,100,1000,2,200,0.5,0.9978699999999998,0.9817425742574254
SigmoidPlayer,100,1000,2,200,0.5,0.9977200000000002,0.9621782178217823
SigmoidPlayer,100,1000,2,200,0.5,0.9974600000000001,0.9698118811881188
SigmoidPlayer,100,1000,2,200,0.5,0.99799,0.9544851485148516
SigmoidPlayer,100,1000,2,200,0.5,0.9975799999999999,0.9889108910891089
SigmoidPlayer,100,1000,2,200,0.5,0.9977100000000001,0.9477821782178217
SigmoidPlayer,100,1000,2,200,0.5,0.9978,0.9746534653465343
SigmoidPlayer,100,1000,2,200,0.5,0.9977699999999998,0.9641782178217823
SigmoidPlayer,100,1000,2,200,0.5,0.9976600000000002,0.9713762376237626
SigmoidPlayer,100,1000,2,200,0.5,0.9978500000000001,0.9750594059405941
SigmoidPlayer,100,1000,2,200,0.5,0.9976299999999999,0.9765742574257424
SigmoidPlayer,100,1000,2,200,0.5,0.99798,0.9764950495049506
SigmoidPlayer,100,1000,2,200,0.5,0.9973800000000002,0.9542772277227725
SigmoidPlayer,100,1000,2,200,0.5,0.9977499999999999,0.9523861386138615
SigmoidPlayer,100,1000,2,200,0.5,0.9976599999999999,0.9624653465346533
SigmoidPlayer,100,1000,2,200,0.5,0.99748,0.9892178217821781
SigmoidPlayer,100,1000,2,200,0.5,0.99798,0.948059405940594
SigmoidPlayer,100,1000,2,200,0.5,0.99761,0.9681188118811881
SigmoidPlayer,100,1000,2,200,0.5,0.99788,0.9710198019801981
SigmoidPlayer,100,1000,2,200,0.5,0.99802,0.9727128712871285
SigmoidPlayer,100,1000,2,200,0.5,0.9977899999999998,0.9576138613861386
SigmoidPlayer,100,1000,2,200,0.5,0.9975999999999999,0.9779603960396039
SigmoidPlayer,100,1000,2,200,0.5,0.9980699999999999,0.9597920792079209
SigmoidPlayer,100,1000,2,200,0.5,0.9973000000000002,0.9823267326732673
SigmoidPlayer,100,1000,2,200,0.5,0.99785,0.9394257425742574
SigmoidPlayer,100,1000,2,200,0.5,0.9981899999999999,0.9874950495049506
SigmoidPlayer,100,1000,2,200,0.5,0.9975799999999998,0.9498019801980198
SigmoidPlayer,100,1000,2,200,0.5,0.9978100000000001,0.9798019801980198
SigmoidPlayer,100,1000,2,200,0.5,0.99787,0.964188118811881
SigmoidPlayer,100,1000,2,200,0.5,0.99803,0.9841782178217822
SigmoidPlayer,100,1000,2,200,0.5,0.99779,0.9662475247524753
SigmoidPlayer,100,1000,2,200,0.5,0.99752,0.9708415841584159
SigmoidPlayer,100,1000,2,200,0.5,0.9976700000000001,0.953039603960396
SigmoidPlayer,100,1000,2,200,0.5,0.9976600000000001,0.9678514851485148
SigmoidPlayer,100,1000,2,200,0.5,0.99763,0.9779900990099009
SigmoidPlayer,100,1000,2,200,0.5,0.99748,0.9452772277227725
SigmoidPlayer,100,1000,2,200,0.5,0.99771,0.9347128712871287
SigmoidPlayer,100,1000,2,200,0.5,0.9973500000000002,0.9354752475247522
SigmoidPlayer,100,1000,2,200,0.5,0.9978399999999997,0.9481584158415842
SigmoidPlayer,100,1000,2,200,0.5,0.99799,0.9737722772277229
SigmoidPlayer,100,1000,2,200,0.5,0.9977199999999999,0.9563168316831684
SigmoidPlayer,100,1000,2,200,0.5,0.99807,0.9692376237623764
SigmoidPlayer,100,1000,2,200,0.5,0.99784,0.9530099009900991
SigmoidPlayer,100,1000,2,200,0.5,0.9978699999999999,0.9818316831683167
SigmoidPlayer,100,1000,2,200,0.5,0.99777,0.9671485148514855
SigmoidPlayer,100,1000,2,200,0.5,0.99803,0.9496732673267329
SigmoidPlayer,100,1000,2,200,0.5,0.9978999999999998,0.9541980198019804
SigmoidPlayer,100,1000,2,200,0.5,0.9979199999999999,0.9593168316831685
SigmoidPlayer,100,1000,2,200,0.5,0.9978800000000001,0.9553168316831684
SigmoidPlayer,100,1000,2,200,0.5,0.9975899999999999,0.9663861386138615
SigmoidPlayer,100,1000,2,200,0.5,0.99784,0.9522277227722773
SigmoidPlayer,100,1000,2,200,0.5,0.9977599999999999,0.9721980198019804
SigmoidPlayer,100,1000,2,200,0.5,0.9972999999999999,0.9464554455445546
SigmoidPlayer,100,1000,2,200,0.5,0.9975899999999999,0.9772376237623763
LRPlayer,100,1000,2,200,0.5,0.9978699999999999,0.9904752475247526
LRPlayer,100,1000,2,200,0.5,0.99743,0.9442178217821782
LRPlayer,100,1000,2,200,0.5,0.99745,0.9910792079207921
LRPlayer,100,1000,2,200,0.5,0.9979099999999999,0.9687722772277229
LRPlayer,100,1000,2,200,0.5,0.99774,0.9915841584158418
LRPlayer,100,1000,2,200,0.5,0.99777,0.9801287128712871
LRPlayer,100,1000,2,200,0.5,0.9977099999999999,0.9874653465346536
LRPlayer,100,1000,2,200,0.5,0.9979299999999999,0.9902871287128714
LRPlayer,100,1000,2,200,0.5,0.9978600000000002,0.9916534653465346
LRPlayer,100,1000,2,200,0.5,0.9980899999999998,0.9900792079207921
LRPlayer,100,1000,2,200,0.5,0.9976900000000001,0.9864851485148514
LRPlayer,100,1000,2,200,0.5,0.99788,0.9762475247524752
LRPlayer,100,1000,2,200,0.5,0.9980199999999999,0.9924752475247525
LRPlayer,100,1000,2,200,0.5,0.9976199999999998,0.9858415841584159
LRPlayer,100,1000,2,200,0.5,0.9976400000000001,0.9908910891089108
LRPlayer,100,1000,2,200,0.5,0.9980000000000001,0.9770000000000001
LRPlayer,100,1000,2,200,0.5,0.9978699999999999,0.9876435643564356
LRPlayer,100,1000,2,200,0.5,0.99759,0.9950990099009902
LRPlayer,100,1000,2,200,0.5,0.9977700000000002,0.9894059405940592
LRPlayer,100,1000,2,200,0.5,0.9974000000000001,0.9880495049504949
LRPlayer,100,1000,2,200,0.5,0.9980399999999997,0.9931782178217823
LRPlayer,100,1000,2,200,0.5,0.9978700000000003,0.9747722772277226
LRPlayer,100,1000,2,200,0.5,0.99763,0.9846138613861386
LRPlayer,100,1000,2,200,0.5,0.9978200000000002,0.9924851485148515
LRPlayer,100,1000,2,200,0.5,0.9979399999999999,0.9835148514851483
LRPlayer,100,1000,2,200,0.5,0.9981799999999998,0.9932178217821782
LRPlayer,100,1000,2,200,0.5,0.99771,0.9893069306930693
LRPlayer,100,1000,2,200,0.5,0.9979600000000001,0.9907029702970299
LRPlayer,100,1000,2,200,0.5,0.9978,0.9839801980198019
LRPlayer,100,1000,2,200,0.5,0.9979499999999999,0.9908910891089109
LRPlayer,100,1000,2,200,0.5,0.99769,0.9679801980198021
LRPlayer,100,1000,2,200,0.5,0.9977199999999997,0.9746534653465346
LRPlayer,100,1000,2,200,0.5,0.99826,0.985287128712871
LRPlayer,100,1000,2,200,0.5,0.9975099999999999,0.986059405940594
LRPlayer,100,1000,2,200,0.5,0.9979300000000001,0.9696831683168317
LRPlayer,100,1000,2,200,0.5,0.9975,0.9879999999999999
LRPlayer,100,1000,2,200,0.5,0.99785,0.9915940594059406
LRPlayer,100,1000,2,200,0.5,0.9978300000000001,0.9917920792079207
LRPlayer,100,1000,2,200,0.5,0.99748,0.9724554455445542
LRPlayer,100,1000,2,200,0.5,0.9978699999999999,0.9849702970297028
LRPlayer,100,1000,2,200,0.5,0.99787,0.989811881188119
LRPlayer,100,1000,2,200,0.5,0.99774,0.9898811881188119
LRPlayer,100,1000,2,200,0.5,0.9980899999999998,0.9748415841584156
LRPlayer,100,1000,2,200,0.5,0.9978999999999999,0.9771188118811881
LRPlayer,100,1000,2,200,0.5,0.9975999999999999,0.9931980198019802
LRPlayer,100,1000,2,200,0.5,0.9981300000000001,0.9855544554455447
LRPlayer,100,1000,2,200,0.5,0.9973799999999998,0.9582376237623761
LRPlayer,100,1000,2,200,0.5,0.9978400000000001,0.9883069306930692
LRPlayer,100,1000,2,200,0.5,0.99776,0.9922376237623763
LRPlayer,100,1000,2,200,0.5,0.99723,0.9527524752475247
LRPlayer,100,1000,2,200,0.5,0.99792,0.9830396039603958
LRPlayer,100,1000,2,200,0.5,0.9980100000000001,0.9902673267326733
LRPlayer,100,1000,2,200,0.5,0.9977099999999999,0.9920594059405939
LRPlayer,100,1000,2,200,0.5,0.9979,0.9901584158415841
LRPlayer,100,1000,2,200,0.5,0.9977800000000001,0.9842871287128712
LRPlayer,100,1000,2,200,0.5,0.9981099999999999,0.9863168316831684
